,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20
Mummy,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
Murat,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,11,8,10,2
Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Murderer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Murmurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Muscovites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Muscovy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Must,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Mutiny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Muttering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
My,4,6,9,3,2,1,3,4,10,9,13,8,8,9,4,6,7,12,6,2
Myasnítski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mysteries,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mytíshchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1
Málo-Yaroslávets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1
Mámontov,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Márin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Márina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Márya,2,2,0,30,0,0,0,1,0,0,0,0,4,60,10,0,3,2,0,0
Másha,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Máshka,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Mávra,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0
Mère,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Métivier,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0
Mílka,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
Míshka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Mítenka,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,1,0,0
Mítka,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Mítrich,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Múdrov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
N.,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
N.N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
N.—le,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NAPOLEON,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
NINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Na,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Na-tásha,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Naples,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,3,0,1
Naples.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Napoleon,7,1,3,0,1,0,3,0,10,22,2,31,1,5,113,44,153,18,65,29
Napoleon.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Napoleonic,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0
Napoleon—demands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Napoleon—hardly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Napoleon—his,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Napoleon—reaching,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Napoleon—that,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Napoléon,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1
Narrow,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Narýshkin,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Narýshkina,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Narýshkins,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Narýshkin—which,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nastásya,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0
Natalia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natalie,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,4,0,0,0
Nataly,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nativity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Naturally,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nature,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Natálya,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Natásha,0,6,17,35,0,0,0,1,21,52,27,2,245,291,74,8,3,120,72,108
Natásha.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Natásha—,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Natásha—Mademoiselle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Natásha—a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Natásha—are,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Natásha—as,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Neapolitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Near,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,2
Nearer,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
Nearest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nearly,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Negro,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Negroes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Neither,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2,1,3,0
Neskúchny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nesvítski,0,0,0,0,0,47,8,0,4,11,0,0,0,0,0,0,0,1,0,0
Never,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,1,2,1
Nevérovski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
New,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Next,0,0,1,0,0,1,2,2,2,4,1,3,6,4,6,4,2,1,4,3
Ney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3
Ney—a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nice,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nicholas,0,3,16,17,6,2,0,3,15,44,29,8,119,82,16,9,1,10,96,6
Nicholas.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Nicholas—,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nicholas—don,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nicholas—having,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Niemen,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,2,0,0,0,1
Niemen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Niemen—only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nikanórovich,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nikoláevich,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Nikoláevna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Nikíta,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
Nikítenko,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nikítski,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Nikólenka,0,0,0,0,0,0,0,0,9,1,1,0,1,0,0,0,0,0,0,0
Nikólski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nikúlins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nizhegórod,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
No,5,11,1,5,10,13,4,13,21,22,32,12,28,20,13,25,18,26,15,23
No-o-o,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
No.,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Nobility,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0
Nobody,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0
Noiselessly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nominally,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Non,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
None,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,1
Nonsense,0,0,0,0,1,1,0,0,1,0,2,0,0,0,1,3,0,0,0,0
Nor,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1
Nostitz,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Not,2,1,0,0,4,2,4,6,13,7,3,3,8,2,4,4,9,5,9,6
Note,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Nothing,3,0,0,0,0,0,2,3,2,2,2,3,1,3,5,0,1,5,4,4
Nothing-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Noticing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Notwithstanding,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nous,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
November,0,0,0,0,0,0,2,2,5,0,1,4,0,0,0,0,0,0,0,4
Novosíltsev,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Novíkov,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Now,3,5,2,2,7,7,5,6,9,11,11,12,13,17,4,9,10,5,7,22
Nowadays,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
Nowhere,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
No—promise,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Nurse,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nízhni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1
Nízhni-Nóvgorod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Nóvgorod,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nóvoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
N—,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
O,0,1,0,0,0,2,0,1,0,1,0,5,2,4,5,0,1,8,8,3
O-hoy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O-ne,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O.,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OCTOBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Obedience,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ober-Hofmarschal,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Obolénski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0
Observe,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Obviously,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Occasionally,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,2
Occupied,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ochákov,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
October,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,12,10
October—that,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Odessa,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Odýntsova,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oestreicher,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Of,0,0,2,2,2,1,1,4,4,2,3,2,3,6,5,4,3,2,3,4
Off,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Officer,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Officers,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Officially,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Officious,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Often,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0
Oh,4,6,8,0,5,11,9,7,24,23,16,14,19,21,13,11,25,32,17,22
Oh-h-h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Oho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oh—why,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Oká,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Old,1,0,0,0,1,0,0,2,3,1,0,1,3,0,2,2,4,1,1,0
Oldenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0
Olga,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olmütz,0,0,0,0,0,0,4,2,15,0,1,0,0,0,0,0,0,0,0,0
On,2,3,1,0,10,14,10,6,11,16,16,22,12,20,29,26,38,23,26,21
Once,0,0,0,1,2,0,0,1,0,0,1,0,5,2,1,1,1,0,2,1
One,3,6,4,2,3,6,7,8,8,6,12,6,7,10,8,15,21,18,11,23
Only,0,1,1,0,3,3,2,4,6,9,4,13,9,13,5,6,6,14,6,12
Onterkoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Onto,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Onúfrich,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oo,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oo-oo,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Oo-oo-oo-oo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ooh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
Oooh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Opening,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Opera,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Opinions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Or,0,0,0,0,0,0,0,1,1,2,2,1,2,0,0,1,1,3,0,1
Order,0,0,0,0,0,0,1,0,0,0,10,3,1,0,0,1,1,1,2,3
Orders,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,1
Ordýnka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oriental,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,1,0
Orlóv,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0
Orlóv-Denísov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Orlóvs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orphanage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Orshá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Orthodox,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0
Orël,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Orël—where,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Or—go,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ostermann,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0
Ostermann-Tolstóy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Ostralitz,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ostrolenka,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ostróvna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Other,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1
Others,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,5,1,1,2
Otherwise,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otrádnoe,0,0,0,0,0,0,0,0,0,0,0,3,20,2,2,0,0,0,1,0
Otrádnoe.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otrádnoe—Mítenka,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ou-rou-rou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Oudinot,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ought,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ouh,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oui,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Our,2,0,1,1,1,1,3,3,2,1,2,5,2,2,1,5,5,2,3,0
Ours,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
Out,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1
Outside,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Over,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Overtaking,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Owing,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
Ozheg-zheg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ozheg-zheg-zheg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P.S,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRINCE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PROCLAMATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pa-pa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pahlen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Painful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pakhrá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
Pale,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Panins,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Panting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Papa,2,0,1,2,1,0,0,0,1,2,5,0,5,5,0,3,0,11,2,2
Pardon,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Paris,1,0,0,1,0,0,1,4,2,0,0,1,0,2,0,0,8,10,1,0
Parisian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Paris—left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Paris—the,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Parliament,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Part,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Particularly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Parties,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Partly,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pashette,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Passing,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0
Password.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Patience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Patriarch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Paul,0,0,0,0,1,0,0,1,0,1,3,0,0,0,1,2,1,0,0,0
Paulucci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0
Pausing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Peace,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Pelagéya,0,0,0,0,0,0,0,0,0,0,2,4,0,9,0,0,0,0,0,0
Pelagéya.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
People,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,2
Perched,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perhaps,1,0,3,0,2,1,0,3,2,1,2,2,4,2,1,2,2,3,1,6
Perkhúshkovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Permit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pernetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Persia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Persian,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,1
Personal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Perónskaya,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0
Peter,0,0,0,4,0,0,1,0,0,1,4,2,1,1,7,3,3,8,2,2
Peterhof,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Peterkin—and,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Peters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Petersburg,6,4,8,2,7,2,1,10,0,10,24,32,21,12,15,6,10,5,21,18
Petersburg.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Petersburg—far,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Petersburg—he,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Petersburg—no,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petropol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Petróv,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Petróvich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Petróvna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Petrúshka,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pfuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,1
Philip,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Physically,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pictures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Piedmontese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pierre,38,67,34,26,85,0,0,92,1,62,225,64,51,52,134,36,216,276,174,176
Pierre.,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre—as,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pierre—have,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pierre—only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
